ethnicity,collected_tests,accessioned_tests,released_tests,valid_tests,opened_tests,positive_tests,positive_rate,inconclusive_tests,pct_released_inconclusive
Latino/a,340,340,340,332,308,56,0.1686746988,4,0.01176470588
Native American,5,5,5,5,5,1,0.2,0,0
Asian,17,17,17,17,14,2,0.1176470588,0,0
Other,10,10,10,10,10,4,0.4,0,0
White,17,17,17,17,17,0,0,0,0
Korean,1,1,1,1,1,0,0,0,0
Native Hawaiian or Other Pacific Islander (NHOP),1,1,1,1,1,0,0,0,0
Filipino,2,2,2,2,2,0,0,0,0
Japanese,2,2,2,2,2,0,0,0,0
African American / Black,7,7,7,7,7,1,0.1428571429,0,0
Vietnamese,1,1,1,1,1,0,0,0,0
Middle Eastern,1,1,1,1,1,0,0,0,0
