ethnicity,Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic
race,Latino/a,African American / Black,Asian,Native American,Native Hawaiian or Other Pacific Islander (NHOP),Unreported,White
inconclusive_tests,0,0,0,0,0,0,0
positive_tests,92,0,0,0,0,1,2
valid_tests,373,10,91,3,1,8,45
