ethnicity,Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic
race,Latino/a,African American / Black,Asian,Native American,Native Hawaiian or Other Pacific Islander (NHOP),Unreported,White
inconclusive_tests,4,0,0,0,0,0,0
positive_tests,35,0,3,0,0,0,3
valid_tests,256,5,46,3,2,6,38
