ethnicity,Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic
race,Latino/a,African American / Black,Asian,Native American,Native Hawaiian or Other Pacific Islander (NHOP),Unreported,White
inconclusive_tests,21,0,0,0,0,0,1
positive_tests,79,0,0,0,0,2,0
valid_tests,412,7,44,5,1,8,24
