ethnicity,Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic,Non-Hispanic
race,Latino/a,African American / Black,Asian,Native American,Native Hawaiian or Other Pacific Islander (NHOP),Unreported,White
inconclusive_tests,4,0,0,0,0,0,0
positive_tests,56,1,2,1,0,4,0
valid_tests,332,7,23,5,1,10,18
